OBJECTID,COUNTRY,YR1970,YR1971,YR1972,YR1973,YR1974,YR1975,YR1976,YR1977,YR1978,YR1979,YR1980,YR1981,YR1982,YR1983,YR1984,YR1985,YR1986,YR1987,YR1988,YR1989,YR1990,YR1991,YR1992,YR1993,YR1994,YR1995,YR1996,YR1997,YR1998,YR1999,YR2000,YR2001,YR2002,YR2003,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017
103,Libya,0,0,0,0,0,0,0,0,0,3,2,0,0,0,3,0,0,0,0,0,0,0,1,0,0,1,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,57,291,728,543,422,190
104,Lithuania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,Luxembourg,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,10,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,Macau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,16,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,Macedonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,5,3,3,67,8,5,0,0,3,1,9,1,0,0,1,0,3,4,0,1
108,Madagascar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,3,2,1,0,0,0,0,5,0,0,0,1,0,0,1,0,1,1,2,1,0,1,0
109,Malawi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
110,Malaysia,0,0,0,1,0,3,0,2,0,1,0,0,0,1,0,0,15,0,4,2,3,3,2,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,2,1,0,0,2,13,12,5,19,4
111,Maldives,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,3,9,2,1,2
112,Mali,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,3,0,13,1,0,3,0,0,0,0,0,0,0,1,0,5,9,6,1,4,19,58,69,121,99,141
113,Malta,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,1,1,4,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3
114,Martinique,0,0,0,0,0,0,0,0,0,0,0,1,0,5,2,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,Mauritania,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,2,5,1,3,0,0,0,0,0,0
116,Mauritius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,Mexico,2,0,1,6,16,10,20,19,30,10,5,3,3,2,4,1,2,1,3,1,5,10,6,0,42,29,75,95,2,1,4,7,0,1,1,1,7,10,8,1,5,2,16,8,5,19,5,20
118,Moldova,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0,1,0,2,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
119,Montenegro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0
120,Morocco,0,0,0,2,0,0,1,0,1,2,0,0,0,0,0,2,2,4,0,0,0,3,1,0,2,1,2,0,0,0,0,0,0,5,0,0,0,6,0,0,0,1,0,0,0,1,0,0
121,Mozambique,0,0,0,0,0,0,0,0,2,5,0,3,9,4,10,5,7,11,16,64,23,35,19,0,3,3,0,0,0,1,3,0,0,0,0,0,0,1,0,0,0,0,1,18,22,8,79,11
122,Myanmar,0,0,0,1,0,0,2,0,0,19,1,0,2,4,0,0,0,1,23,24,9,22,12,0,8,12,13,35,0,4,0,3,4,9,2,8,2,3,20,14,11,2,17,18,15,37,74,115
123,Namibia,0,0,0,0,0,1,2,0,8,31,2,0,2,5,24,8,1,7,17,11,2,1,0,0,1,0,0,0,0,1,21,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,Nepal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,8,0,3,0,5,9,0,8,23,33,58,15,62,70,83,90,120,39,38,46,46,104,7,48,43,247
125,Netherlands,3,1,1,1,2,4,3,6,3,3,1,1,2,2,1,4,14,1,4,5,6,8,12,0,3,7,6,1,0,1,1,1,2,3,1,0,0,0,1,1,1,2,0,0,1,3,6,1
126,New Caledonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,2,0,9,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,New Hebrides,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,New Zealand,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,1,0,2,1,0,0,0,1,0,3,0,0,0,0,5,0,0,0,0,0,1,0,1,0
129,Nicaragua,1,0,0,0,1,1,0,5,76,206,35,47,62,299,302,258,171,223,62,21,15,80,30,0,19,18,26,7,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
130,Niger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,6,16,0,8,2,1,3,0,2,0,0,0,0,0,0,0,7,9,4,3,2,1,4,5,41,25,13
131,Nigeria,0,0,0,0,0,0,1,0,0,0,1,0,0,3,0,0,0,0,2,0,0,3,11,0,8,1,11,20,2,18,6,5,6,9,6,9,37,61,76,42,63,175,616,346,714,638,533,484
132,North Korea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,North Yemen,0,0,0,0,1,0,0,1,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,Norway,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,2,2,0,2,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,3,0,0,0,0,0,1
135,Pakistan,1,0,0,0,2,2,3,0,2,7,1,4,4,9,3,2,24,60,44,45,87,150,85,0,154,666,180,206,37,39,49,53,46,29,67,77,164,260,568,667,713,1012,1654,2215,2151,1243,864,719
136,Panama,0,0,1,0,0,0,2,0,0,4,4,4,0,9,2,0,5,4,1,2,15,16,37,0,3,6,2,6,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
137,Papua New Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,18,2,10,0,3,10,10,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8
138,Paraguay,1,0,0,0,0,0,1,0,0,0,2,0,0,0,2,1,0,1,0,0,0,0,4,0,2,12,0,6,0,1,2,0,0,0,0,0,0,0,0,0,2,4,4,10,15,19,15,10
139,Peoples Republic of the Congo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,Peru,0,0,0,3,3,2,0,4,4,3,64,149,350,536,592,352,568,627,355,630,495,658,383,0,91,44,42,58,5,5,3,3,2,1,3,2,1,4,1,4,0,0,6,10,12,10,3,8
141,Philippines,10,4,7,0,1,4,10,2,36,50,60,31,38,16,43,124,80,160,210,156,320,162,162,0,72,63,61,57,18,31,132,50,48,107,32,25,58,65,276,229,205,151,249,651,597,721,632,692
142,Poland,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,7,0,5,0,4,4,6,3,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1
143,Portugal,0,0,1,1,0,4,15,15,4,15,8,10,3,9,14,20,11,0,2,1,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
144,Qatar,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
145,Republic of the Congo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,0,1,2,0,3,0,1,3,1,0,0,0,0,0,0,0,0,0,1,0,0,15,0
146,Rhodesia,0,0,0,0,0,0,0,0,19,51,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,Romania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
148,Russia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,47,37,66,77,26,54,138,135,89,76,44,64,56,51,170,152,251,188,151,144,48,21,55,33
149,Rwanda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,18,0,33,17,15,33,9,0,1,2,0,0,0,1,0,0,1,1,8,2,6,4,2,0,1,2
150,Saudi Arabia,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,2,1,0,1,3,0,2,0,0,2,3,1,0,0,0,5,3,2,8,17,1,3,1,0,3,0,2,6,6,14,103,124,54
151,Senegal,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,11,4,15,0,2,8,0,26,1,1,4,8,3,0,0,1,0,1,2,3,1,4,12,3,2,2,0,0
152,Serbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,0,3,0,0,0,0,1
153,Serbia-Montenegro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,2,2,0,0,0,0,0,0,0,0,0,0,0
154,Seychelles,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,Sierra Leone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,0,22,14,5,3,7,9,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
156,Singapore,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,Slovak Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
158,Slovenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,Solomon Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,Somalia,0,0,0,0,0,1,0,0,0,0,1,8,0,1,2,0,0,1,2,2,12,8,21,0,57,13,16,19,1,4,9,5,3,1,1,6,10,156,172,122,130,185,325,342,872,418,602,614
161,South Africa,0,0,0,0,1,0,1,15,9,16,23,42,26,56,60,106,159,133,245,149,154,127,271,0,174,32,47,17,6,17,21,0,8,0,0,0,0,2,1,0,0,0,4,13,20,5,27,29
162,South Korea,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,2,0,8,1,3,6,3,0,2,4,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0
163,South Sudan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13,40,54,59,54
164,South Vietnam,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,South Yemen,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,Soviet Union,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,36,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167,Spain,4,22,19,21,14,136,50,147,209,279,187,107,146,122,143,114,125,104,151,142,113,89,72,0,55,44,63,86,17,47,112,79,41,21,31,24,23,11,37,21,3,0,1,5,4,1,3,4
168,Sri Lanka,0,0,0,0,0,1,0,0,0,3,0,2,2,7,81,110,142,115,350,510,141,115,103,0,35,126,176,64,35,46,68,36,3,9,33,133,217,132,100,37,3,0,4,14,16,11,1,41
169,St. Kitts and Nevis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,St. Lucia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,Sudan,0,0,0,1,0,0,0,0,0,0,0,1,3,3,5,0,6,1,10,8,1,3,7,0,5,4,10,3,0,5,7,9,13,0,5,6,24,23,32,26,28,38,40,46,157,158,173,106
172,Suriname,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,8,13,9,17,7,1,5,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,Swaziland,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,1,1,0,0,1,0,1,1,1,0,0,0,1,0,0,1,0,3,0,0,0,0,0,0,0,0,0
174,Sweden,0,2,3,0,0,1,0,0,1,1,0,0,0,1,0,0,3,0,0,3,6,6,12,0,1,1,1,4,0,2,1,0,0,0,0,3,1,0,1,1,3,1,2,0,5,32,16,18
175,Switzerland,3,1,3,2,3,3,4,4,3,6,7,13,6,3,1,7,0,1,4,0,1,2,6,0,0,5,4,1,1,2,4,2,0,1,0,0,0,2,0,0,0,3,0,2,0,0,1,0
176,Syria,0,0,0,0,4,2,2,3,1,28,33,41,20,1,1,1,4,0,0,1,0,0,0,0,0,0,2,1,1,0,0,0,0,0,1,0,1,0,1,0,0,49,180,285,331,491,473,243
177,Taiwan,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,20,0,5,4,5,1,0,0,0,2,0,0,2,0,0,0,1,0,0,0,0,2,1,0,1,1
178,Tajikistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,31,34,22,40,11,4,6,6,0,0,0,1,0,1,0,1,1,0,5,0,1,3,2,2
179,Tanzania,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,2,4,2,0,1,0,0,0,1,0,1,0,0,7,11,14,3,6
180,Thailand,0,0,1,0,1,0,0,3,5,16,26,18,3,1,1,1,3,0,5,16,10,8,25,0,24,12,19,20,4,4,4,14,12,6,44,155,202,293,200,298,253,182,279,472,423,278,329,179
181,Togo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,27,0,13,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
182,Trinidad and Tobago,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,1,0,1,4,3,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,3,0,1,0,0
183,Tunisia,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,4,0,0,0,2,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,2,0,0,3,3,29,23,17,12,4
184,Turkey,12,35,9,0,1,10,35,189,52,141,95,8,5,5,19,2,7,43,42,114,195,293,514,0,300,133,54,44,23,109,35,19,5,19,27,41,43,29,32,13,20,51,188,42,94,422,542,181
185,Turkmenistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
186,Uganda,0,0,0,0,0,0,0,0,0,8,0,25,1,6,3,7,1,1,15,15,14,2,3,0,13,7,29,24,18,19,20,24,24,30,10,11,0,1,7,2,6,0,4,0,6,10,15,13
187,Ukraine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,10,2,3,2,0,6,1,0,3,1,0,0,0,1,1,2,4,3,8,5,895,637,61,61
188,United Arab Emirates,0,0,0,0,1,0,0,1,1,2,1,3,0,1,0,2,1,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,0,0,0
189,United Kingdom,12,81,292,189,203,194,194,140,100,239,134,142,95,177,145,67,95,117,181,163,147,262,274,0,256,22,36,78,63,76,61,94,21,23,5,29,6,20,39,23,57,47,55,137,103,114,105,122
190,United States,468,247,68,58,94,149,105,130,87,69,67,74,78,44,63,40,49,34,27,42,32,30,32,0,55,60,35,40,31,53,32,41,33,33,9,21,6,8,18,11,17,10,20,20,29,38,64,65
191,Uruguay,33,8,7,0,0,0,0,0,0,0,0,0,0,0,4,2,2,0,0,1,1,3,11,0,4,1,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
192,Uzbekistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,8,0,0,0,0,5,2,0,0,0,2,0,0,0,0,0,1,0,0
193,Vanuatu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,Vatican City,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,Venezuela,2,4,1,4,3,5,4,3,7,4,8,7,2,6,4,2,8,13,10,8,1,17,32,0,12,11,12,41,1,5,0,5,5,8,0,0,0,2,1,3,0,0,1,1,4,3,6,17
196,Vietnam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
197,Wallis and Futuna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198,West Bank and Gaza Strip,0,0,1,0,0,0,1,0,4,22,56,17,39,34,26,1,13,11,18,100,88,83,119,0,165,67,30,22,12,11,28,123,86,45,34,38,35,88,63,10,11,20,23,64,133,246,157,83
199,West Germany (FRG),20,13,24,27,28,35,50,40,19,17,20,31,29,5,21,53,46,19,14,21,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,Western Sahara,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
201,Yemen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,24,0,19,8,8,19,7,17,10,7,7,7,0,7,5,7,22,23,112,118,312,425,763,664,525,226
202,Yugoslavia,0,0,0,1,1,0,0,1,0,0,1,2,0,1,1,0,0,0,0,3,5,11,12,0,1,3,16,38,46,23,14,20,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203,Zaire,0,0,3,1,0,0,0,1,0,0,0,0,0,0,3,0,0,0,1,0,0,6,5,0,6,6,13,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,Zambia,0,1,0,1,0,1,0,1,3,1,0,1,0,0,0,1,1,1,5,18,4,0,0,0,0,1,4,0,0,7,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
205,Zimbabwe,0,0,0,0,0,0,0,0,0,0,14,9,12,6,3,1,1,11,1,3,6,1,1,0,1,2,0,0,0,0,1,3,8,1,0,0,1,1,5,0,1,1,0,3,1,0,0,3
